% site name: SCBY
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2007.6872   -57.5     3.5   134.5     3.4   -41.1    11.4
2007.6900   -54.9     2.1   131.4     2.1   -54.1     5.9
2007.6930   -54.4     2.2   132.1     2.1   -54.0     6.3
2007.6954   -54.9     2.1   132.1     2.1   -57.9     5.9
2007.6981   -54.9     2.1   132.9     2.1   -58.2     6.0
2007.7010   -54.7     2.1   133.2     2.1   -54.7     5.8
2007.7040   -54.9     2.1   131.5     2.1   -54.3     6.0
2007.7064   -53.8     2.3   130.4     2.1   -51.6     6.2
2007.7091   -54.3     2.1   131.4     2.1   -54.9     5.9
2007.7120   -54.7     2.2   131.6     2.1   -51.0     6.1
2007.7150   -54.7     2.3   131.8     2.1   -50.6     6.2
2007.7172   -54.4     2.2   131.8     2.1   -48.1     6.1
2007.7200   -54.0     2.2   131.7     2.1   -55.0     6.1
2007.7230   -54.7     2.2   131.1     2.1   -54.2     6.1
2007.7260   -54.3     2.2   132.1     2.1   -51.8     6.1
2007.7282   -53.4     2.2   131.1     2.1   -54.3     6.1
2007.7310   -54.7     2.2   131.7     2.1   -60.8     6.0
2007.7340   -54.5     2.2   132.4     2.1   -58.1     6.1
2007.7364   -53.6     2.3   131.2     2.1   -50.9     6.2
2007.7392   -53.9     2.3   130.6     2.1   -59.4     6.4
2007.7420   -53.5     2.3   130.8     2.1   -58.0     6.2
2007.7450   -54.4     2.1   130.9     2.1   -57.1     5.9
2007.7474   -53.1     2.3   132.3     2.1   -54.1     6.2
2007.7501   -53.9     2.1   132.4     2.1   -54.7     5.9
2007.7530   -53.9     2.3   130.4     2.1   -50.3     6.4
2007.7560   -53.4     2.3   132.4     2.1   -58.1     6.4
2007.7584   -52.9     2.3   131.7     2.1   -56.7     6.4
2007.7611   -51.5     2.9   132.0     2.7   -48.8     8.8
2007.7640   -53.0     2.3   132.9     2.1   -54.6     6.4
2007.7670   -53.6     2.3   130.4     2.1   -57.1     6.3
2007.7692   -52.6     2.3   129.0     2.2   -59.3     6.8
2007.7720   -54.0     2.3   130.5     2.2   -62.0     6.7
2007.7750   -53.4     2.2   128.8     2.2   -62.3     6.3
2007.7780   -51.5     2.3   129.6     2.1   -59.6     6.2
2007.7802   -53.1     2.3   130.6     2.1   -56.7     6.3
2007.7830   -53.7     2.3   129.2     2.1   -63.1     6.6
2007.7860   -53.3     2.3   130.9     2.1   -54.2     6.7
2007.7884   -53.9     2.3   129.4     2.1   -55.2     6.6
2007.7912   -52.7     2.3   129.9     2.1   -54.2     6.4
2007.7940   -53.4     2.3   129.3     2.3   -55.5     6.4
2007.7970   -54.9     2.4   129.2     2.3   -58.2     6.7
2007.7994   -50.5     2.3   130.4     2.1   -58.6     6.2
2007.8022   -49.5     2.3   130.7     2.1   -50.8     6.4
2007.8050   -51.8     2.4   130.6     2.3   -57.1     6.6
2007.8080   -52.3     2.4   129.3     2.3   -56.7     6.6
2007.8104   -50.2     2.4   129.3     2.3   -54.8     6.6
2007.8131   -52.7     2.4   128.7     2.3   -56.4     6.5
2007.8160   -51.1     2.4   129.4     2.3   -57.9     6.7
2007.8190   -50.4     2.3   129.6     2.3   -54.6     6.4
2007.8214   -51.5     2.3   130.5     2.3   -51.1     6.4
2007.8240   -52.2     2.4   130.1     2.3   -50.0     6.6
2007.8270   -51.7     2.4   130.3     2.3   -54.1     6.9
2007.8300   -51.5     2.3   129.6     2.2   -53.1     6.8
2007.8322   -52.5     2.3   129.5     2.1   -56.2     6.5
2007.8350   -53.3     2.3   130.4     2.1   -55.1     6.5
2007.8380   -55.1     6.6   127.8     5.4   -56.8    22.0
2008.2460   -50.8     3.2   119.4     3.3   -63.2    10.7
2008.2484   -52.4     2.7   120.5     2.6   -64.7     7.9
2008.2512   -52.2     2.6   119.4     2.6   -70.4     7.6
2008.2540   -49.9     2.6   120.5     2.4   -62.8     7.6
2008.2570   -50.1     2.3   119.6     2.3   -63.1     6.4
2008.2593   -50.6     2.4   119.5     2.3   -69.6     6.5
2008.2622   -50.5     2.3   120.2     2.3   -62.6     6.4
2008.2650   -51.1     2.4   120.2     2.3   -66.4     6.5
2008.2680   -51.8     2.4   119.9     2.3   -65.1     6.4
2008.2703   -50.9     2.3   119.3     2.2   -59.3     6.7
2008.2730   -51.1     2.4   119.4     2.3   -63.5     6.5
2008.2760   -51.7     2.4   118.6     2.2   -62.2     6.3
2008.2790   -51.5     2.3   118.6     2.2   -61.7     6.5
2008.2813   -51.0     2.3   118.9     2.1   -54.9     6.5
2008.2840   -50.5     2.4   119.3     2.3   -57.1     6.5
2008.2870   -50.0     2.3   120.4     2.1   -55.3     6.5
2008.2900   -48.2     2.3   120.6     2.2   -57.2     6.5
2008.2922   -50.5     2.4   118.7     2.3   -52.3     6.6
2008.2950   -47.8     2.3   119.3     2.3   -51.3     6.4
2008.2980   -49.5     2.3   118.3     2.2   -61.7     6.5
2008.3010   -49.6     2.3   119.7     2.3   -65.6     6.3
2008.3032   -50.3     2.3   117.6     2.3   -64.9     6.3
2008.3060   -48.6     2.3   119.0     2.1   -65.2     6.2
2008.3090   -49.7     2.4   117.8     2.2   -66.3     6.3
2008.3114   -50.0     2.4   117.9     2.4   -62.6     6.6
2008.3142   -50.5     2.4   118.0     2.3   -61.9     6.6
2008.3170   -49.3     2.2   118.1     2.2   -61.5     6.2
2008.3200   -50.1     2.3   117.7     2.3   -61.7     6.4
2008.3223   -50.2     2.3   117.6     2.3   -64.0     6.4
2008.3250   -49.3     2.3   118.2     2.3   -64.8     6.4
2008.3280   -48.4     2.4   117.7     2.4   -57.9     7.0
2008.3310   -48.7     2.3   117.7     2.1   -64.6     6.2
2008.3333   -49.5     2.3   116.2     2.1   -68.9     6.2
2008.3360   -49.7     2.3   117.3     2.1   -64.2     6.5
2008.3390   -49.5     2.3   118.3     2.1   -59.9     6.4
2008.3420   -50.4     2.3   117.1     2.2   -63.4     6.5
2008.3442   -50.4     2.3   117.5     2.1   -57.5     6.2
2008.3470   -50.1     2.3   117.0     2.1   -62.4     6.2
2008.3500   -49.6     2.3   116.7     2.1   -59.4     6.5
2008.3530   -48.8     2.2   117.4     2.2   -59.1     6.4
2008.3552   -49.8     2.3   118.4     2.1   -61.8     6.4
2008.3580   -51.0     2.3   116.2     2.1   -55.5     6.3
2008.3610   -49.7     2.3   117.9     2.1   -56.2     6.5
2008.3634   -48.7     2.3   119.1     2.1   -53.2     6.2
2008.3662   -50.4     2.3   117.6     2.1   -60.6     6.2
2008.3690   -49.1     2.3   116.1     2.1   -63.4     6.3
2008.3720   -50.0     2.2   117.0     2.1   -59.8     6.1
2008.3743   -49.8     2.3   116.7     2.1   -55.2     6.3
2008.3771   -49.9     2.1   116.6     2.1   -66.6     5.9
2008.3800   -48.7     2.2   116.6     2.1   -60.6     6.0
2008.3830   -48.2     2.3   116.9     2.1   -52.4     6.6
2008.3853   -48.8     2.3   118.1     2.1   -55.3     6.2
2008.3880   -49.6     2.2   117.2     2.1   -55.7     6.0
2008.3910   -48.4     2.3   118.0     2.2   -56.5     6.5
2008.3940   -47.7     2.3   115.8     2.2   -53.5     6.6
2008.3963   -50.9     2.3   116.8     2.2   -58.0     6.5
2008.3990   -50.1     2.3   116.4     2.2   -57.9     6.5
2008.4020   -49.4     2.2   116.2     2.2   -52.9     6.4
2008.4050   -47.7     2.3   116.0     2.1   -47.7     6.3
2008.4072   -47.9     2.3   117.2     2.1   -44.4     6.6
2008.4100   -48.2     2.2   116.9     2.2   -52.4     6.4
2008.4130   -48.8     2.2   115.6     2.1   -56.6     6.0
2008.4160   -47.9     2.2   117.1     2.1   -50.5     6.0
2008.4182   -48.4     2.1   116.3     2.1   -50.8     5.9
2008.4210   -47.8     2.3   115.9     2.1   -54.4     6.2
2008.4240   -47.3     2.3   116.1     2.1   -51.1     6.4
2008.4263   -46.6     2.3   117.9     2.1   -53.2     6.2
2008.4291   -47.0     2.3   116.5     2.1   -55.3     6.2
2008.4320   -47.3     2.3   116.7     2.1   -51.3     6.2
2008.4350   -46.6     2.3   117.3     2.1   -54.1     6.2
2008.4373   -47.1     2.2   118.0     2.2   -48.2     6.3
2008.4430   -47.8     2.3   115.2     2.1   -45.9     6.3
2008.4460   -47.7     2.2   115.8     2.1   -49.0     6.0
2008.4483   -49.0     2.1   114.4     2.1   -58.5     6.0
2008.4510   -47.6     2.1   114.7     2.1   -56.3     5.8
2008.4540   -47.9     2.2   115.9     2.1   -51.5     6.0
2008.4570   -49.5     2.2   114.5     2.1   -57.0     6.1
2008.4592   -49.2     2.2   114.2     2.1   -49.1     6.0
2008.4620   -49.8     2.2   114.3     2.1   -53.5     6.0
2008.4650   -49.0     2.2   114.8     2.1   -54.3     6.0
2008.4680   -50.3     2.2   114.3     2.1   -53.2     6.0
2008.4702   -48.5     2.2   116.0     2.1   -49.9     6.1
2008.4730   -48.9     2.2   115.2     2.1   -57.2     5.8
2008.4760   -46.9     2.1   114.8     2.1   -50.1     5.6
2008.4783   -47.6     2.1   115.5     2.1   -53.3     5.8
2008.4812   -47.6     2.1   115.8     2.1   -54.2     5.9
2008.4840   -47.4     2.1   116.0     2.1   -61.4     5.6
2008.4870   -48.3     2.2   114.1     2.1   -54.3     6.1
2008.4893   -48.1     2.2   114.6     2.0   -57.9     5.8
2008.4921   -50.0     2.1   115.3     2.1   -58.7     5.9
2008.4950   -48.6     2.1   114.8     2.1   -60.8     5.8
2008.4980   -47.3     2.1   115.2     2.1   -55.3     5.6
2008.5003   -47.5     2.1   116.0     2.1   -52.9     5.8
2008.5030   -47.4     2.2   114.7     2.1   -48.3     5.8
2008.5060   -47.3     2.1   114.7     2.1   -54.9     5.7
2008.5090   -47.6     2.1   114.6     2.1   -56.7     5.9
2008.5113   -47.5     2.1   113.0     2.1   -56.9     5.8
2008.5140   -48.3     2.1   114.1     2.1   -51.4     5.7
2008.5170   -47.6     2.2   114.8     2.1   -57.4     5.8
2008.5200   -46.5     2.1   113.7     2.1   -49.8     5.7
2008.5222   -47.0     2.1   115.0     2.1   -49.5     5.8
2008.5250   -45.0     2.2   114.0     2.1   -42.7     5.9
2008.5280   -47.1     2.2   113.7     2.1   -48.3     5.9
2008.5310   -45.9     2.1   113.5     2.1   -47.1     5.8
2008.5332   -45.9     2.2   114.0     2.1   -49.2     5.8
2008.5390   -45.9     2.2   113.4     2.1   -34.7     6.0
2008.5413   -48.2     2.2   111.6     2.1   -44.1     6.0
2008.5441   -43.6     2.1   113.3     2.1   -32.1     6.0
2008.5470   -47.4     2.2   113.9     2.1   -37.9     6.1
2008.5500   -47.7     2.3   113.6     2.1   -45.2     6.2
2008.5550   -45.3     2.1   113.3     2.1   -48.3     5.8
2008.5580   -46.3     2.1   112.7     2.1   -46.5     5.8
2008.5610   -46.3     2.2   113.8     2.1   -49.1     6.0
2008.5633   -47.0     2.2   113.0     2.1   -42.9     6.0
2008.5660   -46.2     2.1   113.5     2.1   -44.6     5.9
2008.5690   -47.4     2.2   113.2     2.1   -41.6     6.0
2008.5720   -47.4     2.2   114.4     2.1   -49.0     6.1
2008.5742   -48.6     2.2   113.5     2.1   -48.3     6.0
2008.5770   -47.7     2.3   112.9     2.1   -45.5     6.2
2008.5800   -47.3     2.2   112.4     2.1   -53.9     6.0
2008.5830   -47.6     2.1   113.9     2.1   -32.0     5.8
2008.5880   -48.0     2.1   111.4     2.1   -46.5     5.9
2008.5910   -48.4     2.2   111.1     2.1   -45.2     6.0
2008.5933   -47.5     2.2   112.8     2.1   -51.5     6.1
2008.5961   -48.4     2.2   111.8     2.1   -48.9     5.8
2008.5990   -46.7     2.1   113.3     2.1   -43.3     5.9
2008.6020   -48.6     2.2   112.4     2.1   -47.1     6.1
2008.6043   -48.1     2.3   112.8     2.1   -44.5     6.4
2008.6071   -47.9     2.2   112.8     2.1   -40.0     6.1
2008.6100   -49.0     2.1   112.4     2.1   -49.1     6.0
2008.6130   -49.2     2.3   113.2     2.2   -43.9     6.5
2008.6153   -47.4     2.3   112.2     2.2   -42.5     6.7
2008.6180   -47.7     2.3   112.5     2.1   -35.5     6.2
2008.6210   -47.8     2.2   113.4     2.1   -35.6     6.1
2008.6240   -49.7     2.2   112.1     2.1   -51.3     6.1
2008.6263   -48.4     2.3   111.8     2.1   -43.7     6.4
2008.6290   -47.9     2.2   112.1     2.1   -42.6     5.9
2008.6320   -47.4     2.2   114.6     2.1   -33.9     6.1
2008.6350   -46.9     2.1   113.3     2.1   -39.5     6.0
2008.6372   -46.5     2.3   112.2     2.1   -46.9     6.2
2008.6400   -48.0     2.2   113.1     2.2   -38.9     6.2
2008.6430   -45.8     2.1   112.4     2.1   -38.3     5.9
2008.6460   -45.9     2.1   112.8     2.1   -39.8     5.9
2008.6481   -46.7     2.2   113.9     2.1   -40.0     6.1
2008.6510   -47.2     2.1   113.8     2.1   -39.8     6.0
2008.6540   -47.3     2.2   113.4     2.1   -41.8     6.1
2008.6563   -46.2     2.1   112.1     2.1   -39.2     5.8
2008.6591   -46.5     2.2   114.0     2.1   -45.0     6.0
2008.6620   -47.1     2.2   113.1     2.1   -40.1     6.0
2008.6650   -46.4     2.1   112.5     2.1   -37.3     6.0
2008.6673   -46.7     2.2   112.6     2.1   -49.2     6.1
2008.6700   -47.0     2.3   112.4     2.1   -49.4     6.2
2008.6730   -46.7     2.2   111.8     2.1   -38.9     6.0
2008.6760   -46.7     2.2   112.4     2.1   -38.0     6.1
2008.6783   -46.0     2.2   111.8     2.2   -37.0     6.4
2008.6810   -45.9     2.2   110.7     2.1   -38.5     6.1
2008.6840   -46.9     2.2   112.0     2.2   -40.4     6.4
2008.6870   -47.2     2.3   111.1     2.1   -34.1     6.3
2008.6892   -46.6     2.1   110.4     2.1   -37.1     5.9
2008.6920   -46.6     2.1   110.8     2.1   -45.4     5.9
2008.6950   -46.6     2.1   111.8     2.1   -43.6     5.8
2008.6980   -47.4     2.1   111.8     2.1   -40.3     5.9
2008.7001   -45.5     2.3   111.6     2.1   -40.1     6.2
2008.7030   -46.1     2.1   111.7     2.1   -41.3     5.8
2008.7060   -45.3     2.1   110.8     2.1   -38.7     5.9
2008.7083   -47.2     2.1   110.1     2.1   -44.9     6.0
2008.7111   -45.2     2.3   111.7     2.1   -44.5     6.5
2008.7140   -46.3     2.3   111.0     2.2   -34.9     6.7
2008.7170   -45.8     2.3   111.3     2.1   -32.6     6.5
2008.7193   -45.3     2.3   110.6     2.2   -32.6     6.5
2008.7221   -45.9     2.3   110.4     2.1   -39.9     6.4
2008.7250   -47.0     2.3   110.2     2.1   -48.7     6.4
2008.7280   -46.6     2.3   110.8     2.1   -39.8     6.3
2008.7303   -44.9     2.3   111.8     2.1   -43.5     6.4
2008.7330   -44.5     2.3   112.0     2.2   -47.2     6.7
2008.7360   -43.6     2.2   111.4     2.2   -41.7     6.3
2008.7390   -44.1     2.3   111.4     2.1   -47.6     6.3
2008.7413   -44.6     2.4   111.2     2.2   -43.3     6.3
2008.7440   -45.7     2.3   110.3     2.3   -43.6     6.4
2008.7470   -45.9     2.3   110.3     2.3   -37.5     6.3
2008.7500   -45.1     2.3   110.7     2.1   -54.1     6.3
2008.7521   -46.4     2.3   109.6     2.1   -45.8     6.3
2008.7550   -46.3     2.3   109.3     2.1   -44.3     6.5
2008.7604   -46.6     2.3   110.5     2.1   -32.4     6.4
2008.7631   -45.9     2.2   109.6     2.2   -39.5     6.4
2008.7660   -45.2     2.3   109.8     2.1   -42.0     6.4
2008.7690   -44.9     2.4   110.8     2.3   -43.6     6.9
2008.7713   -44.6     2.3   109.1     2.1   -40.5     6.2
2008.7741   -43.7     2.3   111.1     2.1   -32.6     6.4
2008.7770   -46.6     2.3   109.1     2.1   -42.1     6.2
2008.7800   -44.8     2.3   108.1     2.1   -38.5     6.5
2008.7823   -44.7     2.3   109.9     2.1   -47.3     6.2
2008.7850   -43.7     2.3   110.1     2.1   -42.3     6.3
2008.7880   -44.4     2.3   109.3     2.1   -39.8     6.4
2008.7910   -45.6     2.4   108.7     2.2   -39.8     6.3
2008.7933   -45.1     2.4   107.8     2.2   -39.3     6.2
2008.7960   -45.5     2.2   108.0     2.1   -44.3     6.1
2008.7990   -44.1     2.3   108.9     2.1   -45.1     6.5
2008.8020   -44.9     2.3   110.3     2.1   -39.8     6.2
2008.8041   -45.0     2.3   110.1     2.1   -34.7     6.2
2008.8070   -45.2     2.3   108.5     2.1   -34.0     6.2
2008.8100   -46.6     2.2   109.1     2.2   -42.0     6.4
2008.8124   -45.3     2.3   109.7     2.1   -37.8     6.5
2008.8151   -44.6     2.4   110.4     2.2   -37.2     6.2
2008.8180   -44.8     2.2   109.4     2.2   -38.0     6.2
2008.8210   -43.8     2.2   109.1     2.1   -43.3     6.1
2008.8233   -46.0     2.2   108.4     2.1   -45.1     6.1
2008.8261   -46.3     2.3   109.1     2.1   -41.9     6.4
2008.8290   -46.5     2.3   108.3     2.1   -34.0     6.3
2008.8320   -45.2     2.2   108.1     2.2   -38.3     6.3
2008.8343   -46.8     2.3   107.4     2.1   -37.3     6.3
2008.8371   -44.5     2.4   107.5     2.2   -38.4     6.4
2008.8400   -45.4     2.3   109.3     2.1   -40.4     6.2
2008.8430   -44.9     2.3   108.3     2.1   -42.0     6.3
2008.8453   -45.4     2.2   108.2     2.1   -50.3     6.0
2008.8510   -43.4     2.2   109.2     2.1   -37.7     6.1
2008.8540   -43.5     2.3   107.9     2.1   -38.3     6.5
2008.8563   -45.1     2.3   107.2     2.1   -37.6     6.3
2008.8590   -43.7     5.2   109.8     5.0   -19.0    22.9
2009.1601   -43.6    14.4   103.1    27.4   -24.4   167.4
2009.1630   -43.6     4.3    99.6     4.2   -19.1    72.6
2009.1660   -46.7     4.7   102.2     4.7   -32.8    15.9
2009.1683   -46.3     5.2   101.8     4.8   -38.0    17.9
2009.1740   -43.8     6.2   103.0     4.7   -22.5    22.0
2009.1793   -45.4     4.8   100.0     4.5   -21.0    16.9
2009.1850   -44.1     4.9    98.1     4.9   -19.9    17.4
2009.1874   -43.8     5.3    97.4     3.2   -30.5    18.3
2009.1903   -42.3     3.3    98.0     3.1   -23.0    10.4
2009.1930   -44.3     3.3    97.5     2.9   -21.7    10.6
2009.1960   -42.3     3.2    96.9     3.1   -22.0    10.0
2009.2040   -43.4     3.4    96.1     3.3   -32.6    10.0
2009.2070   -43.7     3.4    96.9     3.0   -32.9    10.0
2009.2094   -44.5     3.1    96.8     3.1   -38.9    11.4
2009.2121   -43.7     3.1    96.8     2.8   -30.3    11.1
2009.2180   -42.4     2.9   100.8     2.8   -38.0     9.7
2009.2203   -44.8     2.8   100.0     2.6   -44.8    10.0
2009.2231   -43.2     2.6    99.1     2.3   -45.1     8.7
2009.2260   -42.4     2.6    99.4     2.4   -41.0     8.5
2009.2290   -41.3     2.5   100.5     2.3   -41.3     7.6
2009.2313   -42.1     2.4   101.7     2.1   -43.1     7.2
2009.2341   -39.7     2.3   100.9     2.1   -42.2     6.9
2009.2370   -41.4     2.3   100.3     2.1   -45.1     6.6
2009.2400   -41.7     2.3    99.6     2.1   -43.1     6.6
2009.2423   -41.2     2.2   101.3     2.1   -43.9     6.4
2009.2450   -41.2     2.2   100.1     2.3   -40.9     6.3
2009.2480   -41.4     2.3   100.7     2.1   -43.9     6.1
2009.2504   -40.9     2.3    99.3     2.3   -49.7     6.1
2009.2532   -40.4     2.3   100.8     2.1   -45.9     6.4
2009.2560   -41.2     2.3    99.2     2.1   -51.3     6.5
2009.2590   -42.4     2.3    99.3     2.1   -51.1     6.2
2009.2614   -42.5     2.3    99.1     2.2   -48.9     6.2
2009.2641   -42.5     2.2    98.6     2.2   -47.6     6.2
2009.2670   -41.1     2.2    99.3     2.1   -46.9     6.2
2009.2700   -40.9     2.2    99.2     2.2   -41.8     6.3
2009.2724   -40.9     2.2    99.1     2.2   -42.2     6.4
2009.2751   -42.3     2.2    99.3     2.3   -43.5     6.1
2009.2780   -41.7     2.4   100.0     2.1   -44.0     6.2
2009.2810   -41.3     2.3    98.7     2.1   -39.9     6.2
2009.2833   -41.6     2.3    99.2     2.1   -50.1     6.6
2009.2861   -40.9     2.3    99.4     2.1   -56.1     6.3
2009.2890   -40.3     2.2   100.0     2.1   -51.5     6.2
2009.2920   -40.8     2.3    98.6     2.2   -50.4     6.2
2009.2943   -41.6     2.2    99.3     2.1   -48.3     6.1
2009.2970   -40.6     2.3    98.9     2.1   -47.7     6.2
2009.3000   -40.6     2.3    99.4     2.2   -42.6     6.3
2009.3024   -41.2     2.2   100.0     2.2   -44.7     6.2
2009.3052   -40.1     2.2    99.3     2.1   -47.9     6.3
2009.3080   -40.0     2.3   100.8     2.1   -45.4     6.4
2009.3110   -41.1     2.3    99.8     2.1   -42.0     6.4
2009.3134   -41.2     2.3    99.5     2.2   -36.0     6.4
2009.3161   -40.8     2.2    99.2     2.2   -35.7     6.4
2009.3190   -41.0     2.2    98.4     2.1   -36.1     6.3
2009.3220   -40.1     2.3    98.5     2.1   -40.4     6.1
2009.3244   -40.4     2.3    97.2     2.1   -34.4     6.2
2009.3271   -40.3     2.2    98.2     2.1   -35.5     6.4
2009.3300   -42.4     2.2    98.2     2.2   -36.9     6.2
2009.3330   -40.9     2.2    99.6     2.1   -38.8     6.1
2009.3353   -40.2     2.2    98.8     2.1   -41.4     6.0
2009.3381   -41.9     2.2    99.0     2.2   -43.2     6.1
2009.3410   -40.4     2.2    97.8     2.1   -39.3     6.0
2009.3440   -41.0     2.3    98.2     2.2   -33.8     6.1
2009.3463   -42.2     2.2    97.8     2.2   -41.4     6.2
2009.3491   -41.4     2.2    97.7     2.3   -43.0     6.2
2009.3520   -41.4     2.4    97.7     2.1   -43.2     6.2
2009.3544   -40.7     2.3    96.8     2.3   -41.0     6.2
2009.3572   -40.6     2.3    97.1     2.1   -37.3     6.7
2009.3600   -39.9     2.1    96.8     2.1   -36.9     6.3
2009.3630   -39.8     2.1    98.1     2.1   -36.6     6.3
2009.3654   -39.5     2.1    98.1     2.1   -36.2     5.9
2009.3682   -39.5     2.1    98.7     2.1   -40.7     5.8
2009.3710   -40.6     2.1    97.8     2.1   -35.2     5.8
2009.3740   -41.1     2.2    97.7     2.2   -41.5     6.0
2009.3764   -41.2     2.3    98.2     2.1   -39.0     6.0
2009.3791   -40.0     2.2    96.8     2.2   -35.3     6.0
2009.3820   -42.6     2.2    98.0     2.1   -39.0     6.6
2009.3850   -40.5     2.2    97.5     2.1   -39.5     6.1
2009.3874   -39.4     2.2    98.3     2.1   -37.6     6.2
2009.3901   -39.0     2.3    98.3     2.1   -32.1     6.0
2009.3930   -38.0     2.3    98.9     2.3   -31.4     6.1
2009.3960   -40.2     2.3    99.1     2.2   -32.7     6.3
2009.4011   -41.9     2.2    96.5     2.2   -34.6     6.6
2009.4040   -39.2     2.2    96.7     2.1   -29.0     6.4
2009.4070   -39.8     2.3    97.9     2.1   -38.5     6.3
2009.4093   -40.1     2.3    96.2     2.2   -34.6     6.3
2009.4120   -39.2     2.2    97.3     2.2   -39.2     6.2
2009.4150   -39.3     2.2    96.2     2.1   -42.6     6.2
2009.4174   -39.2     2.3    98.3     2.2   -36.6     6.2
2009.4202   -39.6     2.2    97.5     2.1   -47.1     6.2
2009.4230   -40.0     2.2    96.2     2.1   -44.0     6.3
2009.4260   -39.1     2.3    95.8     2.1   -45.8     6.4
2009.4284   -39.6     2.3    96.4     2.1   -39.3     6.0
2009.4311   -40.6     2.2    97.0     2.1   -43.1     6.2
2009.4340   -39.3     2.2    96.8     2.1   -43.0     6.3
2009.4370   -40.0     2.2    96.0     2.1   -38.7     6.0
2009.4394   -39.1     2.2    96.7     2.2   -37.4     5.8
2009.4421   -40.0     2.2    96.6     2.1   -42.1     6.1
2009.4450   -40.9     2.2    96.4     2.2   -48.2     5.8
2009.4480   -39.4     2.2    97.3     2.1   -44.6     6.3
2009.4503   -38.6     2.3    97.4     2.1   -43.4     5.9
2009.4531   -38.0     2.2    96.5     2.1   -39.4     6.4
2009.4560   -38.2     2.2    95.6     2.1   -37.5     6.3
2009.4590   -37.6     2.2    96.0     2.1   -39.3     6.1
2009.4613   -38.4     2.1    97.0     2.1   -36.4     6.1
2009.4641   -36.9     2.1    95.6     2.1   -34.9     5.9
2009.4670   -39.2     2.1    97.4     2.1   -28.6     5.9
2009.4694   -39.1     2.2    97.0     2.2   -44.6     6.0
2009.4722   -38.3     2.2    96.4     2.1   -43.5     6.0
2009.4750   -39.0     2.2    95.8     2.1   -43.4     6.1
2009.4780   -39.4     2.1    95.8     2.1   -44.5     6.3
2009.4804   -39.1     2.2    96.6     2.1   -39.9     6.1
2009.4832   -38.3     2.1    95.7     2.1   -40.8     5.8
2009.4860   -36.3     2.1    95.7     2.1   -47.2     5.9
2009.4890   -38.8     2.1    94.1     2.1   -49.6     5.9
2009.4914   -37.8     2.1    94.9     2.1   -39.1     5.9
2009.4941   -38.4     2.1    96.2     2.1   -42.6     6.0
2009.4970   -38.3     2.2    95.6     2.1   -37.9     5.9
2009.5000   -37.9     2.1    95.1     2.1   -39.5     6.0
2009.5024   -38.7     2.2    94.1     2.1   -42.0     6.0
2009.5051   -38.0     2.2    96.3     2.1   -37.6     5.9
2009.5080   -38.0     2.2    94.7     2.1   -40.9     6.0
2009.5110   -37.4     2.2    95.3     2.1   -38.2     6.0
2009.5133   -38.5     2.1    96.6     2.1   -37.9     6.2
2009.5161   -38.8     2.1    95.2     2.1   -41.5     6.1
2009.5190   -37.5     2.1    94.8     2.1   -40.6     5.9
2009.5220   -39.0     2.1    92.3     2.1   -40.0     5.9
2009.5242   -37.3     2.1    95.1     2.1   -41.3     5.9
2009.5270   -37.1     2.1    96.2     2.1   -41.8     5.7
2009.5300   -37.4     2.1    95.3     2.1   -42.6     5.9
2009.5324   -38.7     2.1    94.6     2.1   -43.5     6.0
2009.5352   -38.5     2.1    94.3     2.1   -46.4     5.8
2009.5380   -38.7     2.1    94.4     2.1   -48.4     5.6
2009.5410   -38.6     2.1    94.5     2.1   -41.9     5.7
2009.5434   -37.2     2.1    96.1     2.1   -41.5     5.6
2009.5461   -39.2     2.1    94.5     2.1   -43.0     5.7
2009.5490   -40.7     2.1    93.9     2.1   -39.5     5.6
2009.5520   -39.3     2.1    94.1     2.1   -45.0     5.7
2009.5544   -38.6     2.1    94.0     2.1   -48.9     5.7
2009.5571   -39.3     2.1    93.5     2.1   -40.0     5.7
2009.5600   -39.8     2.1    94.5     2.1   -39.9     5.7
2009.5630   -40.2     2.1    94.0     2.1   -42.8     5.6
2009.5653   -40.5     2.1    93.0     2.1   -40.4     5.8
2009.5681   -40.9     2.1    94.3     2.1   -37.4     5.5
2009.5710   -39.9     2.1    91.7     2.1   -36.6     5.6
2009.5740   -40.0     2.2    92.9     2.1   -43.4     5.7
2009.5762   -39.9     2.1    93.4     2.1   -38.5     5.8
2009.5791   -40.4     2.2    94.0     2.1   -43.8     6.0
2009.5820   -39.9     2.1    93.2     2.1   -40.4     5.7
2009.5844   -40.2     2.1    92.3     2.1   -38.3     6.1
2009.5872   -38.8     2.1    93.8     2.1   -36.7     5.7
2009.5900   -38.9     2.2    93.9     2.1   -37.8     5.9
2009.5930   -39.2     2.1    95.0     2.1   -34.2     5.9
2009.5954   -39.0     2.1    93.5     2.1   -35.1     6.0
2009.5982   -38.6     2.1    95.0     2.1   -42.7     6.0
2009.6010   -40.5     2.1    93.0     2.1   -37.2     5.7
2009.6040   -40.0     2.1    93.1     2.1   -33.3     5.9
2009.6064   -39.1     2.1    91.7     2.1   -36.1     5.9
2009.6091   -39.1     2.2    92.4     2.1   -44.2     5.9
2009.6120   -40.4     2.1    93.6     2.1   -40.7     5.7
2009.6150   -39.2     2.1    93.0     2.1   -37.6     6.0
2009.6174   -39.4     2.1    92.7     2.1   -37.6     5.8
