% site name: SISI
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2012.7440   -37.1     2.6    57.6     2.5   -18.1     3.9
2012.7470   -36.3     2.6    57.3     2.5    -4.4     3.9
2012.7500   -34.0     3.0    58.3     2.9    -5.2     4.5
2012.7521   -34.7     2.9    56.4     2.8   -12.8     4.3
2012.7550   -34.6     2.6    58.0     2.5    -5.2     3.8
2012.7580   -34.0     2.7    56.3     2.5   -13.4     4.0
2012.7604   -34.0     2.6    56.2     2.5    -6.9     3.9
2012.7631   -33.0     2.6    56.5     2.5    -5.1     3.9
2012.7660   -33.6     2.8    55.2     2.8    -5.8     4.2
2012.7690   -33.0     2.7    57.0     2.7    -7.5     4.1
2012.7713   -34.2     3.0    55.9     2.8    -9.0     4.5
2012.7741   -33.5     2.8    55.0     2.7    -6.3     4.2
2012.7770   -31.1     2.8    56.4     2.7    -6.7     4.1
2012.7800   -31.6     2.7    56.0     2.7    -2.7     4.1
2012.7823   -32.0     2.9    57.4     2.9    -2.6     4.3
2012.7850   -34.1     3.6    58.2     3.4   -10.7     5.6
2012.7880   -33.4     3.2    55.8     3.1    -6.8     4.5
2012.7910   -31.1     2.7    57.7     2.7    -6.2     4.0
2012.7933   -32.3     2.7    57.3     2.7   -10.3     4.0
2012.7960   -32.2     2.8    56.6     2.8    -7.5     4.2
2012.7990   -32.4     2.7    56.5     2.7    -8.0     4.0
2012.8020   -33.2     2.7    57.1     2.7   -13.0     4.0
2012.8041   -31.4     2.8    57.0     2.6   -10.6     4.0
2012.8070   -31.1     2.8    56.7     2.7    -9.7     4.2
2012.8100   -31.4     2.7    55.1     2.7   -16.0     4.1
2012.8124   -32.8     2.9    55.7     2.9   -12.2     4.3
2012.8151   -32.9     2.7    55.2     2.7   -25.5     4.1
2012.8180   -32.5     2.6    55.6     2.6   -21.0     3.9
2012.8210   -30.3     2.7    56.4     2.7   -14.4     4.1
2012.8233   -32.8     2.8    55.5     2.7   -10.9     4.2
2012.8261   -32.8     2.6    55.4     2.5    -2.8     3.8
2012.8290   -31.8     2.7    55.9     2.5     8.0     4.0
2012.8320   -31.3     2.7    56.1     2.7     7.9     4.0
2012.8343   -31.4     2.7    56.3     2.7     5.6     4.0
2012.8371   -32.1     3.2    57.5     3.0     3.9     4.9
2012.8400   -33.2     2.8    56.5     2.7    -3.1     4.2
2012.8430   -34.2     2.6    56.8     2.5   -12.0     3.9
2012.8480   -35.0     2.7    56.9     2.5   -16.4     4.0
2012.8510   -35.6     2.7    56.7     2.7   -11.8     4.1
2012.8540   -33.8     2.9    56.7     2.7   -11.2     4.3
2012.8563   -33.4     2.6    54.7     2.9   -13.6     3.9
2012.8590   -34.1     2.6    55.6     2.5    -8.5     3.9
2012.8620   -34.3     2.7    54.6     2.5    -4.7     4.0
2012.8650   -32.5     2.6    53.6     2.5     0.2     3.9
2012.8671   -33.1     2.8    55.9     2.5    -0.5     4.0
2012.8700   -32.8     3.3    55.0     2.6    -9.5     4.9
2012.8730   -33.7     3.0    55.1     3.1    -4.3     4.6
2012.8754   -33.4     2.7    53.8     2.9    -6.0     4.1
2012.8781   -32.1     2.8    54.5     2.6    -7.0     4.0
2012.8810   -32.4     2.7    54.7     2.7    -6.8     4.1
2012.8840   -33.0     2.7    56.4     2.7    -3.7     4.1
2012.8863   -33.0     2.7    55.9     2.7    -7.1     4.0
2012.8891   -34.4     3.7    55.3     2.7    -2.2     5.8
2012.8920   -29.9     2.8    56.5     3.7    -6.0     4.1
2012.8950   -30.9     2.6    55.8     2.7   -13.0     3.9
2012.8973   -33.3     2.7    54.5     2.5   -12.7     4.1
2012.9000   -32.7     2.9    55.0     2.7    -9.7     4.3
2012.9030   -33.3     2.7    54.0     2.8    -9.2     4.1
2012.9060   -32.1     3.7    51.8     2.7   -12.5     6.1
2012.9083   -30.9     2.6    52.9     3.7   -12.8     3.8
2012.9110   -34.6     2.7    52.2     2.5   -11.4     4.0
2012.9140   -34.0     2.8    53.2     2.7   -11.1     4.0
2012.9170   -34.2     2.6    52.9     2.6   -12.0     3.8
2012.9191   -35.6     2.6    53.0     2.5    -5.4     3.9
2012.9220   -34.7     2.8    55.0     2.5    -4.5     4.2
2012.9250   -33.0     2.7    53.6     2.7    -7.2     4.0
2012.9274   -34.9     2.6    53.7     2.7    -8.1     3.9
2012.9301   -32.9     2.6    53.8     2.5    -9.5     3.8
2012.9330   -33.1     2.7    53.0     2.5   -11.2     4.0
2012.9360   -32.7     2.6    54.2     2.5   -11.5     3.9
2012.9383   -32.1     2.6    54.0     2.5    -7.9     3.8
2012.9411   -32.5     2.6    54.7     2.5    -9.1     3.9
2012.9440   -32.7     2.7    54.3     2.5    -4.4     4.0
2012.9470   -31.4     2.7    55.0     2.5    -5.2     4.0
2012.9493   -33.4     2.6    55.6     2.5    -2.0     3.9
2012.9521   -31.3     2.7    54.3     2.5    -3.5     4.0
2012.9550   -33.5     2.6    55.1     2.5    -5.4     3.8
2012.9580   -34.2     2.8    56.7     2.5   -10.5     4.1
2012.9603   -32.1     2.7    56.1     2.7   -11.2     4.0
2012.9630   -30.3     3.5    56.0     2.5   -16.2     5.6
2012.9660   -31.9     2.7    56.0     3.4   -13.6     4.1
2012.9690   -30.8     3.0    53.7     2.7   -14.7     4.6
2012.9713   -31.2     3.4    54.4     2.9   -17.5     5.5
2012.9740   -31.6     2.6    51.8     3.4   -12.4     3.8
2012.9770   -31.3     2.6    53.7     2.5   -14.8     3.8
2012.9821   -30.9     2.6    52.1     2.5   -18.0     3.8
2012.9850   -32.5     2.6    51.9     2.5   -16.1     3.8
2012.9880   -32.8     2.6    53.3     2.5    -7.0     3.8
2012.9904   -34.1     2.6    51.1     2.5    -8.5     3.8
2012.9931   -34.9     2.7    52.2     2.5    -6.8     4.0
2012.9960   -34.0     2.6    52.4     2.5   -10.1     3.9
2012.9990   -34.0     2.7    53.1     2.5    -9.7     4.0
2013.0013   -33.3     2.5    52.8     2.7    -7.3     3.8
2013.0041   -34.5     2.6    51.7     2.5    -4.5     3.9
2013.0070   -32.5     2.6    53.5     2.5    -4.7     3.9
2013.0100   -34.9     2.6    51.4     2.5    -4.9     3.9
2013.0123   -34.0     2.7    52.3     2.5    -8.3     4.0
2013.0150   -33.0     2.5    51.6     2.5    -8.4     3.8
2013.0180   -32.1     2.6    51.1     2.5    -6.5     3.8
2013.0210   -31.9     2.6    51.4     2.5    -9.4     3.9
2013.0233   -32.2     2.6    54.3     2.5    -6.1     3.9
2013.0260   -33.7     2.7    51.6     2.5    -5.2     4.0
2013.0290   -32.1     2.8    51.7     2.7    -8.6     4.0
2013.0314   -30.3     2.6    52.5     2.6    -7.9     3.8
2013.0341   -30.0     2.6    54.2     2.5   -10.5     3.8
2013.0370   -30.3     2.9    53.4     2.5   -11.4     4.3
2013.0400   -30.9     2.7    52.2     2.8    -5.4     4.0
2013.0424   -32.5     2.6    52.6     2.7    -7.8     3.9
2013.0451   -31.0     2.7    51.7     2.5    -5.4     4.1
2013.0480   -31.9     2.9    52.2     2.7   -11.4     4.3
2013.0510   -32.5     2.8    49.6     2.8    -9.0     4.2
2013.0533   -33.9     2.7    49.5     2.7   -10.2     4.1
2013.0561   -32.9     2.9    49.8     2.7    -9.8     4.3
2013.0590   -33.1     2.7    51.3     2.7    -4.1     4.0
2013.0620   -32.3     2.6    51.7     2.7    -1.3     3.8
2013.0643   -33.1     2.7    51.9     2.5    -3.7     4.0
2013.0670   -31.8     2.7    52.7     2.5    -4.0     4.0
2013.0700   -31.5     2.6    50.4     2.5     0.3     3.9
2013.0730   -33.5     3.2    49.7     2.5     0.6     4.8
2013.0753   -32.1     2.6    51.3     3.1    -3.6     3.9
2013.0780   -32.4     2.7    50.5     2.5    -1.6     4.0
2013.0810   -31.1     2.6    51.4     2.5    -4.9     3.8
2013.0834   -32.4     2.6    50.7     2.5    -4.5     3.8
2013.0861   -31.3     2.9    51.8     2.5     0.1     4.3
2013.1550   -35.3     3.4    51.4     2.8    -4.1     5.3
2013.1574   -33.4     2.7    51.4     3.3    -4.0     4.0
2013.1601   -32.9     2.6    51.3     2.5    -9.2     3.8
2013.1630   -31.1     2.7    49.7     2.5    -7.5     4.0
2013.1660   -32.1     3.2    51.2     2.5    -8.6     4.8
2013.1683   -32.1     3.0    51.0     3.0   -11.4     4.5
2013.1711   -28.0     2.8    50.7     2.8   -12.1     4.2
2013.1740   -33.4     2.7    51.9     2.7   -11.4     4.0
2013.1770   -31.6     2.8    51.5     2.5    -9.2     4.0
2013.1793   -31.4     2.8    50.0     2.6   -11.2     4.0
2013.1820   -31.4     2.6    48.7     2.6   -10.2     3.9
2013.1850   -30.1     2.6    50.5     2.5   -10.5     3.8
2013.1874   -30.9     2.6    49.6     2.5    -6.7     3.9
2013.1903   -30.0     2.6    50.5     2.5   -10.1     3.8
2013.1930   -29.9     2.6    50.2     2.5   -12.2     3.9
2013.1960   -30.2     2.7    49.1     2.5   -11.2     4.0
2013.1984   -31.5     2.7    49.3     2.5   -11.2     4.0
2013.2011   -27.9     2.7    50.0     2.5    -6.9     4.0
2013.2040   -29.9     2.7    49.0     2.7    -8.9     4.1
2013.2070   -28.5     2.9    49.4     2.7    -6.8     4.3
2013.2094   -30.4     3.5    50.5     2.8    -9.9     5.5
2013.2121   -29.1     2.6    48.5     3.3   -16.5     3.9
2013.2150   -29.2     2.7    47.8     2.5   -15.8     4.0
2013.2180   -29.8     2.8    49.0     2.5   -15.8     4.2
2013.2203   -27.6     2.7    51.0     2.7   -16.2     4.1
2013.2231   -29.2     2.6    49.1     2.7   -15.1     3.9
2013.2260   -29.7     2.7    48.3     2.5   -12.9     4.1
2013.2290   -28.4     2.6    48.5     2.7   -14.7     3.9
2013.2313   -28.8     2.6    48.9     2.5   -12.4     3.9
2013.2341   -29.8     2.6    49.4     2.5   -12.6     3.8
2013.2370   -29.3     3.0    50.0     2.5    -7.3     4.5
2013.2400   -29.2     2.7    48.5     2.8    -9.2     4.1
2013.2423   -29.7     3.1    49.7     2.6    -6.0     4.8
2013.2450   -28.3     2.8    47.9     2.9    -5.2     4.2
2013.2480   -29.1     2.7    46.6     2.8    -9.7     4.1
2013.2504   -26.2     2.9    48.2     2.7   -10.9     4.2
2013.2532   -27.5     2.7    47.9     2.7   -12.7     4.1
2013.2560   -27.7     2.7    47.7     2.7   -14.6     4.1
2013.2590   -25.6     2.8    47.7     2.7   -10.0     4.0
2013.2614   -25.1     2.7    49.6     2.6   -11.0     4.0
2013.2641   -28.1     2.7    47.7     2.5   -14.4     4.1
2013.2670   -26.2     2.7    48.1     2.7   -10.9     4.1
2013.2700   -27.7     2.6    47.4     2.5   -10.7     3.8
2013.2724   -28.6     2.7    47.9     2.5   -10.7     4.0
2013.2751   -28.2     2.7    47.7     2.5    -5.1     4.0
2013.2780   -29.6     2.7    46.9     2.7   -10.1     4.0
2013.2810   -27.8     2.8    46.3     2.7   -10.6     4.2
2013.2833   -27.3     2.7    46.3     2.7   -14.0     4.1
2013.2861   -27.6     2.7    48.6     2.7   -13.0     4.1
2013.2890   -28.7     2.6    48.6     2.7   -14.5     3.9
2013.2920   -27.8     2.9    46.9     2.5   -11.5     4.3
2013.2943   -27.7     2.7    47.1     2.7   -12.7     4.0
2013.2970   -27.7     2.6    46.7     2.5    -6.9     3.9
2013.3000   -29.3     2.6    46.8     2.5    -7.3     3.9
2013.3024   -28.7     2.6    46.6     2.5    -7.7     3.9
2013.3052   -28.1     2.6    46.2     2.5    -5.8     3.9
2013.3080   -27.1     2.7    46.4     2.5    -6.0     4.1
2013.3110   -28.2     2.7    46.5     2.5   -11.9     4.0
2013.3134   -27.1     3.0    46.6     2.5    -8.3     4.5
2013.3161   -27.5     2.9    46.6     2.7   -13.4     4.2
2013.3190   -29.4     3.0    46.5     2.7   -13.4     4.5
2013.3220   -27.5     2.8    48.7     2.9    -3.0     4.2
2013.3244   -27.4     2.7    46.5     2.7   -12.0     4.1
2013.3271   -25.8     2.7    47.3     2.5    -6.5     4.1
2013.3300   -26.6     2.8    47.8     2.7   -10.3     4.2
2013.3330   -25.4     3.5    50.1     2.7   -12.2     5.3
2013.3381   -27.3     2.7    44.9     3.1    -9.8     4.0
2013.3410   -28.5     2.9    45.8     2.5    -9.3     4.4
2013.3440   -28.4     2.8    47.9     2.8    -8.1     4.2
2013.3463   -27.0     2.8    45.4     2.7    -4.4     4.2
2013.3491   -27.7     2.7    46.7     2.7    -7.6     4.1
2013.3520   -27.7     2.7    45.9     2.7    -6.1     4.1
2013.3544   -26.9     2.7    44.6     2.7    -8.2     4.0
2013.3572   -27.4     2.7    44.5     2.5   -10.0     4.0
2013.3600   -27.8     2.6    45.5     2.5    -9.4     3.9
2013.3630   -28.2     2.7    47.4     2.5   -11.2     4.1
2013.3654   -27.0     2.6    46.6     2.5    -8.0     3.9
2013.3682   -28.6     2.8    46.1     2.5   -11.0     4.2
2013.3710   -28.0     2.6    46.1     2.7    -6.1     3.9
2013.3740   -27.5     2.8    44.5     2.5   -10.3     4.2
2013.3764   -26.9     3.0    46.4     2.7    -6.9     4.5
2013.3791   -27.8     2.9    45.9     2.9    -4.1     4.3
2013.3820   -28.8     2.8    46.4     2.7    -7.7     4.2
2013.3850   -28.3     2.8    46.1     2.7   -11.3     4.2
2013.3874   -28.1     2.8    45.1     2.7   -11.5     4.0
2013.3901   -27.4     2.8    46.9     2.6    -6.7     4.0
2013.3930   -27.7     2.5    44.6     2.6   -11.0     3.7
2013.3960   -28.4     2.6    45.5     2.4    -8.9     3.8
2013.3983   -30.0     2.8    44.0     2.5    -3.9     4.1
2013.4011   -28.5     2.6    45.6     2.7   -10.9     3.7
2013.4040   -28.7     2.5    46.1     2.5   -11.4     3.8
2013.4070   -28.8     2.5    45.2     2.5    -8.6     3.5
2013.4093   -28.0     2.4    44.3     2.4    -7.5     3.4
2013.4120   -28.2     2.4    46.2     2.2   -11.9     3.4
2013.4150   -27.8     2.4    43.8     2.2    -7.8     3.6
2013.4174   -28.4     2.9    43.7     2.3   -10.1     4.2
2013.4202   -28.4     2.6    44.5     2.7   -11.9     3.7
2013.4230   -27.9     2.5    44.9     2.5    -9.4     3.7
2013.4260   -28.5     2.5    44.4     2.5    -7.2     3.6
2013.4284   -28.7     2.4    43.3     2.4    -9.0     3.6
2013.4311   -29.2     2.5    44.5     2.3    -8.6     3.6
2013.4340   -27.4     2.7    44.9     2.4   -11.2     3.8
2013.4370   -28.5     2.5    44.6     2.4    -5.2     3.6
2013.4394   -27.6     2.4    44.4     2.4   -10.5     3.4
2013.4421   -28.5     2.4    43.2     2.2   -11.6     3.4
2013.4450   -28.2     2.3    42.7     2.2   -11.5     3.5
2013.4480   -29.5     2.4    43.0     2.3   -12.6     3.4
2013.4503   -29.8     2.4    44.3     2.2   -11.1     3.5
2013.4531   -26.6     2.5    44.4     2.2   -11.1     3.6
2013.4560   -27.7     2.4    43.6     2.4   -14.7     3.4
2013.4590   -29.6     2.4    43.1     2.2    -9.4     3.4
2013.4613   -28.0     2.5    43.0     2.2    -9.8     3.6
2013.4641   -28.7     2.5    42.8     2.4   -14.9     3.7
2013.4670   -27.2     2.4    43.9     2.4   -11.6     3.5
2013.4694   -27.7     2.5    44.6     2.2    -7.4     3.6
2013.4722   -28.2     2.5    43.8     2.4    -9.3     3.6
2013.4750   -25.7     2.6    44.2     2.4    -8.8     3.7
2013.4780   -28.9     2.6    43.2     2.5   -11.8     3.9
2013.4804   -27.5     2.7    43.0     2.5   -10.9     4.0
2013.4832   -26.3     2.4    43.5     2.5   -10.4     3.4
2013.4860   -24.2     2.4    43.1     2.2    -7.5     3.4
2013.4890   -28.0     2.5    43.8     2.2   -12.3     3.6
2013.4914   -25.6     2.7    42.6     2.4    -8.8     4.0
2013.4941   -24.5     2.7    43.8     2.5   -15.0     4.0
2013.4970   -26.7     2.5    45.0     2.4    -9.5     3.6
2013.5000   -26.4     2.3    42.0     2.4    -8.4     3.5
2013.5024   -27.4     2.4    43.1     2.3   -12.7     3.4
2013.5051   -28.2     2.4    43.1     2.2   -11.6     3.4
2013.5080   -29.5     2.4    42.8     2.2    -8.9     3.4
2013.5110   -27.4     2.5    42.5     2.2   -13.6     3.5
2013.5133   -25.4     2.9    43.0     2.4   -12.1     4.3
2013.5161   -26.0     2.4    43.3     2.6   -10.8     3.5
2013.5190   -26.6     2.4    42.2     2.2    -9.0     3.6
2013.5220   -26.3     2.4    41.9     2.3    -7.4     3.4
2013.5242   -27.5     3.0    41.9     2.2   -16.4     4.6
2013.5270   -27.2     2.8    43.4     2.8    -7.6     4.2
2013.5300   -25.0     2.5    44.0     2.7    -6.7     3.7
2013.5324   -25.5     2.5    42.8     2.4    -8.7     3.6
2013.5352   -26.5     2.9    41.4     2.4   -11.6     4.4
2013.5380   -26.2     2.5    41.9     2.6    -9.9     3.6
2013.5410   -26.4     2.3    41.6     2.4    -4.9     3.5
2013.5434   -27.6     2.4    41.9     2.3    -9.3     3.4
2013.5461   -27.1     2.4    41.4     2.2   -10.7     3.6
2013.5490   -28.5     2.5    40.9     2.3   -11.4     3.5
2013.5520   -27.0     2.4    41.5     2.4    -8.5     3.4
2013.5544   -25.7     2.4    42.4     2.2    -9.4     3.4
2013.5571   -24.9     2.4    41.9     2.2   -10.1     3.4
2013.5600   -25.0     2.5    41.2     2.2   -10.9     3.5
2013.5630   -26.1     2.5    42.5     2.4   -10.4     3.6
2013.5653   -27.1     2.6    41.8     2.4   -12.6     3.8
2013.5681   -26.2     2.5    41.6     2.5   -12.9     3.6
2013.5710   -26.4     2.5    42.0     2.4    -8.3     3.7
2013.5740   -26.3     2.5    41.8     2.4   -10.5     3.6
2013.5762   -26.1     2.4    41.9     2.4   -13.2     3.4
2013.5791   -26.4     2.4    42.1     2.2    -6.0     3.6
2013.5820   -25.7     2.5    44.3     2.3    -6.8     3.7
2013.5844   -26.3     2.4    40.3     2.4    -7.5     3.5
2013.5872   -25.1     2.4    41.2     2.2    -8.9     3.4
2013.5900   -26.2     2.4    41.8     2.2   -10.4     3.4
2013.5930   -24.8     2.6    40.5     2.2   -10.5     3.9
2013.5954   -22.7     2.8    39.9     2.5    -5.6     4.1
2013.5982   -27.1     2.4    43.1     2.6   -10.6     3.5
2013.6010   -26.2     2.4    41.3     2.2    -5.7     3.4
2013.6040   -26.2     2.4    42.0     2.2    -9.1     3.4
2013.6064   -26.6     2.4    42.2     2.2    -6.7     3.4
2013.6091   -27.4     2.4    41.5     2.2    -5.2     3.4
2013.6120   -26.8     2.4    42.0     2.2    -6.3     3.4
2013.6150   -26.6     2.4    40.0     2.2    -8.9     3.4
2013.6174   -27.4     2.5    40.4     2.2   -11.5     3.6
2013.6201   -25.8     2.5    41.3     2.4    -5.8     3.6
2013.6230   -27.0     2.5    39.2     2.4    -0.8     3.6
2013.6260   -26.4     2.8    40.8     2.4    -4.6     4.0
2013.6282   -24.6     2.3    40.0     2.6    -7.4     3.5
2013.6311   -22.8     2.5    40.1     2.3    -1.6     3.5
2013.6340   -25.4     2.4    40.4     2.4     4.0     3.4
2013.6370   -25.1     2.4    40.6     2.2    -1.3     3.6
2013.6392   -24.6     2.5    41.3     2.3    -6.8     3.6
2013.6420   -24.9     2.6    40.3     2.4    -5.7     3.8
2013.6450   -27.4     3.1    38.5     2.4     5.0     4.6
2013.6474   -26.4     2.4    39.8     2.9    -7.0     3.4
2013.6502   -25.9     2.6    40.0     2.4    -8.9     3.9
2013.6530   -25.2     2.5    39.6     2.5    -5.3     3.6
2013.6560   -25.2     2.7    38.7     2.4   -10.0     3.8
2013.6584   -24.1     2.5    40.0     2.4    -7.5     3.6
2013.6611   -25.7     2.4    40.6     2.4    -6.5     3.4
2013.6640   -24.7     2.5    40.3     2.2    -2.8     3.6
2013.6670   -25.0     2.5    39.9     2.4    -4.2     3.7
2013.6694   -26.3     2.6    40.9     2.4   -10.5     3.9
2013.6721   -25.3     2.5    39.4     2.5    -3.1     3.5
2013.6750   -25.9     2.4    41.9     2.4    -7.2     3.6
2013.6780   -26.6     2.5    40.2     2.3    -9.4     3.5
2013.6802   -24.5     2.4    39.7     2.4    -5.4     3.4
2013.6831   -23.7     2.7    40.3     2.2    -5.6     4.0
2013.6860   -23.7     2.4    38.6     2.5    -4.3     3.5
2013.6890   -24.2     2.4    38.7     2.2    -9.6     3.6
2013.6912   -24.2     2.4    40.2     2.3    -5.5     3.4
2013.6940   -25.0     2.4    39.1     2.2   -12.3     3.4
2013.6970   -24.4     2.4    38.1     2.4    -5.6     3.4
2013.6994   -24.2     2.4    40.1     2.2    -7.6     3.4
2013.7022   -22.9     2.5    39.2     2.2    -4.7     3.6
2013.7050   -24.8     2.8    38.1     2.4   -21.0     4.2
2013.7080   -23.3     2.5    38.6     2.7    -7.3     3.5
2013.7104   -23.3     2.5    36.1     2.4    -6.5     3.6
2013.7132   -25.2     2.5    39.2     2.4    -9.5     3.5
2013.7160   -24.5     2.8    37.1     2.4   -10.6     4.1
2013.7190   -24.5     2.9    37.3     2.7   -12.2     4.2
2013.7214   -22.6     2.5    38.4     2.9   -10.6     3.5
2013.7241   -22.8     2.4    40.6     2.4    -5.3     3.4
2013.7270   -22.8     2.4    39.1     2.2    -6.7     3.5
2013.7300   -25.0     2.5    41.2     2.2   -11.7     3.5
2013.7324   -24.9     2.5    37.4     2.4   -10.9     3.6
2013.7351   -25.2     2.5    39.6     2.4   -12.4     3.5
2013.7380   -24.3     2.4    38.3     2.4    -7.9     3.4
2013.7410   -22.3     2.4    38.6     2.2    -8.2     3.4
2013.7432   -21.7     2.4    38.7     2.2    -6.6     3.4
2013.7460   -22.0     2.4    39.0     2.2    -7.7     3.5
2013.7490   -22.5     2.5    37.7     2.2   -11.6     3.6
2013.7520   -23.0     2.3    39.0     2.4   -11.0     3.5
2013.7542   -23.0     2.7    38.8     2.3   -14.6     4.1
2013.7570   -21.3     2.3    38.3     2.7    -9.5     3.5
2013.7600   -22.1     2.4    38.3     2.3    -6.4     3.4
2013.7624   -22.3     2.4    38.4     2.2    -8.7     3.4
2013.7652   -23.6     2.4    38.0     2.2    -4.8     3.4
2013.7680   -21.5     2.5    39.2     2.2    -8.0     3.7
2013.7710   -20.7     2.5    39.3     2.4    -6.9     3.6
2013.7734   -22.4     2.7    39.1     2.4   -15.0     4.1
2013.7761   -23.3     2.3    38.7     2.7   -18.1     3.5
2013.7790   -22.6     2.5    37.2     2.3    -5.8     3.6
2013.7820   -20.8     2.5    37.9     2.4    -9.8     3.5
2013.7844   -22.0     2.4    40.1     2.4    -9.2     3.4
2013.7871   -22.6     2.8    38.6     2.2    -1.4     4.2
2013.7900   -23.9     2.6    38.8     2.7   -10.9     3.7
2013.7930   -23.1     2.6    38.9     2.5   -12.0     3.7
2013.7952   -22.2     2.8    37.5     2.5   -12.2     4.1
2013.7980   -21.3     2.4    37.9     2.8    -9.3     3.4
2013.8010   -21.1     2.3    38.3     2.2    -7.3     3.4
2013.8040   -21.5     2.4    37.9     2.3    -9.7     3.4
2013.8062   -23.1     2.5    38.3     2.4    -6.6     3.6
2013.8090   -22.1     2.5    37.6     2.4   -10.1     3.6
2013.8120   -23.0     2.5    36.2     2.4    -6.7     3.5
2013.8144   -22.7     2.4    36.0     2.4    -4.4     3.4
2013.8172   -24.0     2.4    37.6     2.4    -5.5     3.4
2013.8200   -23.7     2.5    36.4     2.4    -3.2     3.6
2013.8230   -25.4     2.4    36.1     2.5    -8.1     3.4
2013.8254   -23.3     2.3    36.6     2.4    -5.9     3.5
2013.8282   -25.2     2.6    35.4     2.3    -5.2     3.7
2013.8310   -24.8     3.0    34.7     2.5    -1.6     4.4
2013.8340   -23.8     2.6    35.2     2.7    -8.0     3.6
2013.8364   -22.5     2.7    37.4     2.4   -10.4     3.9
2013.8391   -22.3     2.5    36.1     2.7    -7.1     3.5
2013.8420   -22.1     2.6    34.1     2.4    -4.9     3.9
2013.8450   -22.6     2.7    35.2     2.5    -5.6     3.8
2013.8474   -22.0     2.5    35.5     2.6    -5.4     3.5
2013.8500   -23.3     2.3    35.6     2.4    -5.4     3.5
2013.8530   -20.4     2.8    36.3     2.3    -3.8     4.2
2013.8560   -22.5     2.5    36.8     2.7    -1.6     3.5
2013.8582   -21.7     2.8    35.6     2.4    -7.3     4.4
2013.8610   -22.9     2.6    36.1     2.7    -1.7     3.8
2013.8640   -22.7     2.7    35.1     2.5    -4.0     4.2
2013.8670   -24.5     2.4    34.5     2.9    -6.5     3.6
2013.8692   -21.2     2.4    35.4     2.3    -3.7     3.4
2013.8720   -24.4     2.5    34.9     2.2    -2.8     3.5
2013.8750   -21.1     2.8    36.1     2.4    -0.2     4.0
2013.8774   -24.1     2.6    36.1     2.7    -6.2     3.7
2013.8802   -21.5     2.6    36.7     2.5    -8.9     3.8
2013.8830   -21.0     2.3    35.2     2.5     6.8     3.5
2013.8860   -20.3     2.6    37.1     2.3     3.1     3.7
2013.8884   -23.9     2.5    34.6     2.5     0.3     3.5
2013.8911   -23.0     2.4    36.6     2.4    -8.9     3.4
2013.8940   -22.3     2.5    35.0     2.4    -7.2     3.5
2013.8970   -21.2     2.6    35.9     2.4    -5.9     3.9
2013.8994   -21.8     2.4    36.6     2.5    -4.3     3.4
2013.9020   -23.4     2.4    34.2     2.2    -6.5     3.6
2013.9050   -23.2     2.4    34.5     2.3    -7.3     3.4
2013.9080   -23.1     2.4    34.0     2.2    -5.9     3.4
2013.9102   -22.3     2.4    35.2     2.2    -3.7     3.4
2013.9130   -25.2     2.7    34.0     2.2   -12.3     3.8
2013.9160   -23.8     2.5    34.3     2.6    -4.6     3.7
2013.9190   -23.7     2.5    35.4     2.4    -4.9     3.5
2013.9212   -23.3     2.4    35.0     2.4    -7.1     3.4
2013.9240   -23.5     2.6    34.6     2.2    -8.1     3.7
2013.9270   -23.2     2.6    36.2     2.5    -9.5     3.7
2013.9294   -21.3     2.3    35.1     2.5   -10.8     3.5
2013.9322   -22.5     2.3    35.1     2.3    -9.1     3.5
2013.9350   -21.8     2.5    35.1     2.3    -7.5     3.6
2013.9380   -22.6     2.9    34.7     2.4   -10.3     4.2
2013.9404   -20.9     2.3    34.2     2.7   -10.0     3.5
2013.9432   -20.8     2.3    34.0     2.3   -11.7     3.5
2013.9460   -23.1     2.3    33.2     2.3   -14.1     3.5
2013.9490   -21.7     2.4    33.4     2.3   -11.9     3.6
2013.9514   -22.1     2.3    32.3     2.3    -5.5     3.5
2013.9541   -22.2     2.7    32.9     2.3    -7.3     4.1
2013.9570   -20.7     2.3    32.7     2.7    -8.4     3.5
2013.9600   -23.9     2.5    33.8     2.3    -9.0     3.5
2013.9624   -23.3     2.4    33.4     2.4    -8.6     3.4
2013.9650   -20.2     2.5    33.7     2.4    -7.5     3.5
2013.9680   -21.9     2.6    35.1     2.4    -6.6     3.8
2013.9710   -23.0     2.6    33.8     2.5    -9.1     3.8
2013.9732   -23.5     2.3    33.9     2.5    -5.7     3.5
2013.9760   -22.5     2.4    33.8     2.3    -5.2     3.4
2013.9790   -22.3     2.4    33.4     2.2    -5.5     3.4
2013.9820   -21.5     2.4    35.0     2.2    -7.0     3.4
2013.9842   -22.5     2.8    35.6     2.2    -7.4     4.0
2013.9870   -23.4     2.4    33.8     2.6    -8.7     3.4
2013.9900   -21.2     2.4    33.5     2.2    -3.2     3.4
2013.9924   -20.7     2.3    33.0     2.2    -4.7     3.5
2013.9952   -22.1     2.5    34.3     2.3   -10.1     3.5
2013.9980   -22.2     2.3    34.0     2.4    -7.8     3.5
2014.0010   -20.6     2.3    34.0     2.3    -8.8     3.5
2014.0034   -21.2     2.7    33.2     2.3   -10.8     3.9
2014.0061   -20.4     2.7    34.1     2.7    -4.5     3.9
2014.0090   -19.5     2.5    34.6     2.7    -7.0     3.6
